"37.5021,127.4697","37.4824,127.5944","37.4798,127.5871","37.5308,127.3107",
"37.8136,127.4665","37.8078,127.5249","37.7913,127.5255","37.7439,127.3525",
"38.4672,128.4337","38.4808,128.4383","38.4740,128.4435",,
"37.8156,127.7121","37.8125,127.7452","37.8192,127.7187",,
"36.9966,128.3968","36.9825,128.3696","36.9830,128.3699","36.9770,128.3369",
"37.5099,126.7558","37.6622,126.6766","37.4958,126.8080",,
"37.3911,126.7809","37.3471,126.6891","37.3483,126.7658","37.4389,126.7841",
"37.2784,126.8349","37.2945,126.8422","37.2419,126.5621",,
"37.2973,127.6616","37.2988,127.6316","37.2938,127.6628",,
"37.1761,128.4455","37.1224,128.5992","37.1820,128.4663",,
"37.5288,126.4062","37.5360,126.4273","37.5446,126.4313","37.2636,126.4627",
"38.1851,127.2878","38.1313,127.2553","38.2096,127.2657","38.1401,127.3276","38.1749,127.2974"
"37.9228,127.2374","38.0660,127.3182","37.9650,127.1925",,
"37.2462,126.9241","37.1518,127.0719","37.2330,127.0649","37.2030,126.9757",
