29,10,13,30,14,23,27,19,15,26,0
14,28,23,4,6,2,13,4,28,23,3
10,13,30,29,28,13,14,27,20,12,0
15,17,6,15,12,14,4,7,6,3,1
15,12,17,26,25,6,7,24,4,22,1
29,10,30,13,28,6,20,12,14,4,0
20,18,19,21,27,2,29,14,4,13,4
22,11,2,5,8,21,1,16,12,14,2
5,22,8,21,11,14,2,16,1,22,2
20,18,19,21,27,2,29,14,18,27,4
4,22,28,30,23,5,27,23,3,4,3
10,13,29,30,9,23,14,18,19,2,0
12,15,24,3,6,25,26,23,30,9,1
13,19,18,30,14,4,26,17,23,28,0
11,23,28,4,13,18,4,24,22,9,3
21,22,12,8,14,5,2,30,16,1,2
12,15,24,3,6,25,26,23,25,9,1
1,21,8,11,16,14,2,22,5,15,2
19,2,18,20,11,27,5,15,23,19,4
18,23,4,28,12,27,30,26,4,28,3
9,4,23,28,26,4,29,25,23,14,3
22,11,2,5,8,21,1,16,21,22,2
10,13,30,29,28,4,14,27,20,12,0
26,27,3,12,15,7,28,6,17,15,1
7,27,2,19,18,25,20,3,14,17,4
28,28,23,4,6,2,13,4,28,23,3
21,22,8,5,2,1,16,14,11,11,2
26,15,6,9,12,7,24,3,25,14,1
18,19,20,27,13,22,7,23,28,5,4
27,3,23,18,19,24,20,30,25,27,4
